Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium
2019,Chicago White Sox,AL Central,72,89,3,,1649775,20622,11th of 15,$80846333,99,98,Guaranteed Rate Field
2018,Chicago White Sox,AL Central,62,100,4,,1608817,19862,12th of 15,$75092000,99,98,Guaranteed Rate Field
2017,Chicago White Sox,AL Central,67,95,4,,1629470,20117,13th of 15,$97842000,98,97,Guaranteed Rate Field
2016,Chicago White Sox,AL Central,78,84,4,,1746293,21559,12th of 15,$113416000,96,96,U.S. Cellular Field
2015,Chicago White Sox,AL Central,76,86,4,,1755810,21677,13th of 15,$112889700,97,96,U.S. Cellular Field
2014,Chicago White Sox,AL Central,73,89,4,,1650821,20381,13th of 15,$87475500,98,97,U.S. Cellular Field
2013,Chicago White Sox,AL Central,63,99,5,,1768413,21832,10th of 15,$81401900,105,104,U.S. Cellular Field
2012,Chicago White Sox,AL Central,85,77,2,,1965955,24271,9th of 14,$118208000,104,104,U.S. Cellular Field
2011,Chicago White Sox,AL Central,79,83,3,,2001117,24705,7th of 14,$127789000,106,106,U.S. Cellular Field
2010,Chicago White Sox,AL Central,88,74,2,,2194378,27091,7th of 14,$107195000,103,103,U.S. Cellular Field
2009,Chicago White Sox,AL Central,79,83,3,,2284163,28200,6th of 14,$101081000,105,105,U.S. Cellular Field
2008,Chicago White Sox,AL Central,89,74,1,Lost ALDS (3-1),2500648,30496,5th of 14,$121189332,105,104,U.S. Cellular Field
2007,Chicago White Sox,AL Central,72,90,4,,2684395,33141,5th of 14,$108671833,104,104,U.S. Cellular Field
2006,Chicago White Sox,AL Central,90,72,3,,2957414,36511,3rd of 14,$102750667,104,104,U.S. Cellular Field
2005,Chicago White Sox,AL Central,99,63,1,Won WS (4-0),2342833,28924,7th of 14,$75178000,103,103,U.S. Cellular Field
2004,Chicago White Sox,AL Central,83,79,2,,1930537,23834,8th of 14,$65212500,101,102,U.S. Cellular Field
2003,Chicago White Sox,AL Central,86,76,2,,1939524,23945,9th of 14,$51010000,102,102,U.S. Cellular Field
