RCDTS,Type,School_Name,District,District_Size,School_Type,NR_Student_Enrollment,PERC_Student_Enrollment___White,PERC_Student_Enrollment___Black_or_African_American,PERC_Student_Enrollment___Hispanic_or_Latino,PERC_Student_Enrollment___Asian,PERC_Student_Enrollment___Two_or_More_Races,PERC_Student_Enrollment___Children_with_Disabilities,PERC_Student_Enrollment___EL,PERC_Student_Enrollment___Low_Income
010010010262002,School,Seymour Elementary School,Payson CUSD 1,MEDIUM,ELEMENTARY,316,94.6,0.3,,0.3,4.7,19.6,0.3,51.9
010010020262002,School,Liberty Elementary School,Liberty CUSD 2,MEDIUM,ELEMENTARY,350,97.4,0.3,,,2.3,18.6,,25.1
010010030262003,School,Central Elementary Grade School,Central CUSD 3,MEDIUM,ELEMENTARY,195,96.4,1.0,,,2.1,24.6,,42.6
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,MEDIUM,ELEMENTARY,124,97.6,0.8,,,0.8,23.4,0.8,43.5
010010040262006,School,Unity Elementary School,CUSD 4,MEDIUM,ELEMENTARY,236,95.3,0.8,2.5,,1.3,19.1,2.1,43.6
010010040262007,School,Unity Middle School,CUSD 4,MEDIUM,ELEMENTARY,252,94.4,0.8,3.6,0.4,0.8,18.3,1.2,37.7
010011720222004,School,Sarah Atwater Denman Elementary School,Quincy SD 172,LARGE,ELEMENTARY,369,81.6,5.1,2.4,1.1,9.8,21.7,,64.2
010011720222006,School,Colonel George Iles Elementary School,Quincy SD 172,LARGE,ELEMENTARY,589,73.7,11.7,2.5,0.3,11.4,19.2,0.2,68.1
010011720222007,School,Thomas S Baldwin Elementary School,Quincy SD 172,LARGE,ELEMENTARY,269,72.1,7.1,5.6,2.2,12.6,16.7,1.1,62.5
010011720222008,School,Sarah Atwater Denman Elementary Site 1,Quincy SD 172,LARGE,ELEMENTARY,143,83.2,6.3,4.9,,5.6,13.3,,63.6
010011720222009,School,Thomas S Baldwin Elementary School,Quincy SD 172,LARGE,ELEMENTARY,269,77.0,9.3,3.7,0.4,8.9,24.2,0.4,60.6
010011720222016,School,Lincoln-Douglas Elementary School,Quincy SD 172,LARGE,ELEMENTARY,572,78.0,7.7,3.1,0.9,10.0,21.0,0.2,55.9
010011720222017,School,Dr. Abby Fox Rooney Elementary School,Quincy SD 172,LARGE,ELEMENTARY,537,76.0,8.0,5.0,0.9,9.9,19.7,0.4,62.9
010050010262002,School,Brown County Elementary School,Brown County CUSD 1,MEDIUM,ELEMENTARY,312,96.2,0.6,2.2,,1.0,22.8,,50.3
010090150262003,School,Gard Elementary School,Beardstown CUSD 15,MEDIUM,ELEMENTARY,490,29.6,12.9,54.5,0.6,2.0,20.0,60.4,79.4
010090640262001,School,Virginia Elem School,Virginia CUSD 64,SMALL,ELEMENTARY,162,92.6,1.9,3.1,,1.9,24.1,0.6,55.6
010092620262001,School,A-C Central Elementary School,A-C Central CUSD 262,SMALL,ELEMENTARY,166,91.6,3.0,4.2,,1.2,19.9,,48.2
